apple,fruit,https://i.ibb.co/ZMwV2mV/apple-1834639-1280.jpg,TRUE,
pear,fruit,https://i.ibb.co/MNgvppK/food-2280-1280.jpg,FALSE,
orange,fruit,https://i.ibb.co/J5sGpfw/oranges-428072-1280.jpg,FALSE,
strawberry,fruit,https://i.ibb.co/LhWhzKC/strawberry-7224875-1280.jpg,FALSE,
grapefruit,fruit,https://i.ibb.co/fDrMnxV/fruits-2202422-1280.jpg,FALSE,
grapes,fruit,,TRUE,
red grapes,fruit,https://i.ibb.co/RN1J0Y3/grapes-1283162-1280.jpg,FALSE,6
black grapes,fruit,https://i.ibb.co/zHXD0Hd/grapes-5518970-1280.jpg,FALSE,6
green grapes,fruit,https://i.ibb.co/0yjfQVT/grapes-5581762-1280.jpg,FALSE,6
clementines,fruit,https://i.ibb.co/xYtKxY3/mandarins-3167020-1280.jpg,FALSE,
mango,fruit,https://i.ibb.co/XLQMKC7/mangoes-6944865-1280.jpg,FALSE,
peach,fruit,https://i.ibb.co/Y8FzYgK/food-2563403-1280.jpg,FALSE,
nectarine,fruit,https://i.ibb.co/h8CWFbr/nectarine-2409370-1280.jpg,FALSE,
banana,fruit,https://i.ibb.co/CKFcMH5/banana-2449019-1280.jpg,FALSE,
persimmon,fruit,https://i.ibb.co/SctnyTQ/persimmon-1001802-1280.jpg,FALSE,
papaya,fruit,https://i.ibb.co/LdkvFjC/fruit-1476989-1280.jpg,FALSE,
passion fruit,fruit,https://i.ibb.co/xzDjRRv/passion-fruit-3519303-1280.jpg,FALSE,
starfruit,fruit,https://i.ibb.co/TMkP8Zt/star-fruit-1557438-1280.jpg,FALSE,
blackberries,fruit,https://i.ibb.co/Z2S35kp/blackberry-1061734-1280.jpg,FALSE,
raspberries,fruit,https://i.ibb.co/7GS31W2/healthy-3349423-1280.jpg,FALSE,
kiwi,fruit,https://i.ibb.co/2M8VQ0s/kiwi-3170652-1280.jpg,FALSE,
pineapple,fruit,https://i.ibb.co/9G1LqH1/pineapple-5108775-1280.jpg,FALSE,
pink pineapple,fruit,,FALSE,
applesauce,fruit,https://i.ibb.co/CWvjqyP/apple-sauce-544676-1280.jpg,FALSE,
apple butter,condiments,,FALSE,
apricot,fruit,https://i.ibb.co/3YsFcPH/apricot-2314631-1280.jpg,FALSE,
lemon,fruit,https://i.ibb.co/YXtG91T/lemon-2121307-1280.jpg,FALSE,
lime,fruit,https://i.ibb.co/BqPBky3/food-1239235-1280.jpg,FALSE,
plum,fruit,https://i.ibb.co/h2PkxnN/plum-2427588-1280.jpg,FALSE,
blueberry,fruit,https://i.ibb.co/rbtHNWF/blueberry-3357568-1280.jpg,FALSE,
coconut,fruit,https://i.ibb.co/3ydHGzB/coconut-2675546-1280.jpg,FALSE,
spinach,vegetable,https://i.ibb.co/k1rYCX9/vegetable-1125420-1280.jpg,FALSE,
lettuce,vegetable,https://i.ibb.co/y5Kx22w/salad-3505392-1280.jpg,FALSE,
kale,vegetable,https://i.ibb.co/sKCbjKs/vegetables-2202495-1280.jpg,FALSE,
swiss chard,vegetable,https://i.ibb.co/SfkM8zh/leaves-7741294-1280.jpg,FALSE,
collard greens,vegetable,https://i.ibb.co/bbqWMj2/vegetables-2202487-1280.jpg,FALSE,
mustard greens,vegetable,https://i.ibb.co/wspzwRw/mustard-7486519-1280.jpg,FALSE,
arugula,vegetable,,FALSE,
watercress,vegetable,https://i.ibb.co/8grgBXT/watercress-4257303-1280.jpg,FALSE,
bok choy,vegetable,https://i.ibb.co/r3ZLsy3/bok-choy-1922454-1280.jpg,FALSE,
endive,vegetable,https://i.ibb.co/z6QTBFk/endive-4583705-1280.jpg,FALSE,
radicchio,vegetable,https://i.ibb.co/Qf3NHVc/radicchio-74315-1280.jpg,FALSE,
romaine,vegetable,https://i.ibb.co/k90sgCr/lettuce-2468495-1280.png,FALSE,
mache,vegetable,,FALSE,
broccoli,vegetable,https://i.ibb.co/PjQqMpj/broccoli-1238250-1280.jpg,FALSE,
cauliflower,vegetable,https://i.ibb.co/NnrFrW1/cauliflower-849643-1280.jpg,FALSE,
cabbage,vegetable,https://i.ibb.co/NC5xz6j/cabbage-7191817-1280.jpg,FALSE,
brussels sprouts,vegetable,https://i.ibb.co/MZNgrSc/cabbage-8517143-1280.jpg,FALSE,
kohlrabi,vegetable,https://i.ibb.co/X4Stfmw/kohlrabi-74276-1280.jpg,FALSE,
turnip greens,vegetable,https://i.ibb.co/thsYfby/turnip-5231857-1280.jpg,FALSE,
turnips,vegetable,https://i.ibb.co/MNShtsJ/turnip-5231855-1280.jpg,FALSE,
radishes,vegetable,https://i.ibb.co/xYXRRBx/radish-3955463-1280.jpg,FALSE,
carrots,vegetable,https://i.ibb.co/J7hTJkL/carrots-1112020-1280.jpg,FALSE,
baby potatoes,vegetable,https://i.ibb.co/T0PKNSD/potatoes-4331742-1280.jpg,FALSE,
sweet potatoes,vegetable,https://i.ibb.co/tpCLpBc/market-4077575-1280.jpg,FALSE,
beets,vegetable,https://i.ibb.co/p2ZNjPp/beetroot-3490809-1280.jpg,FALSE,
parsnips,vegetable,https://i.ibb.co/yqHKVZ5/parsnip-5700588-1280.jpg,FALSE,
rutabaga,vegetable,https://i.ibb.co/0h0Wdxf/turnip-2546876-1280.jpg,FALSE,
taro,vegetable,https://i.ibb.co/304WV3G/taro-5367857-1280.jpg,FALSE,
jicama,vegetable,https://i.ibb.co/1RV363J/jicama-875254-1280.jpg,FALSE,
jerusalem artichokes,vegetable,https://i.ibb.co/N37Qq6j/vegetable-3569736-1280.jpg,FALSE,
cassava,vegetable,https://i.ibb.co/808FJSm/yuca-1353258-1280.jpg,FALSE,
yellow onion,vegetable,https://i.ibb.co/mFbVnxq/onion-bulbs-84722-1280.jpg,FALSE,
white onion,vegetable,https://i.ibb.co/Tg8k6py/onion-1529070-1280.jpg,FALSE,
red onion,vegetable,https://i.ibb.co/jgqs1Lh/onion-276590-1280.jpg,FALSE,
sweet onion,vegetable,,FALSE,
cipollini onion,vegetable,,FALSE,
ramps,vegetable,,FALSE,
pickled onions,condiments,,FALSE,
fried onions,condiments,,FALSE,
pearl onions,vegetable,,FALSE,
dehydrated onions,spices,,FALSE,
garlic,vegetable,,FALSE,
shallots,vegetable,,FALSE,
leeks,vegetable,,FALSE,
fennel,vegetable,,FALSE,
green onion,vegetable,https://i.ibb.co/K5KvvZb/scallion-2316378-1280.png,TRUE,78
scallions,vegetable,https://i.ibb.co/K5KvvZb/scallion-2316378-1280.png,TRUE,77
asparagus,vegetable,,FALSE,
celery,vegetable,https://i.ibb.co/F38Tpf4/celery-3410302-1280.png,FALSE,
rhubarb,fruit,,FALSE,
bamboo shoots,vegetable,,FALSE,
green beans,vegetable,,FALSE,
snap peas,vegetable,,FALSE,
lima beans,vegetable,,FALSE,
snow peas,vegetable,,FALSE,
edamame,vegetable,,FALSE,
okra,vegetable,https://i.ibb.co/bL7GXxR/lady-finger-2764615-1280.jpg,FALSE,
chickpeas,vegetable,https://i.ibb.co/RDRt9qy/chickpea-316594-1280.jpg,FALSE,
lentils,vegetable,,FALSE,
zucchini,vegetable,,FALSE,
yellow squash,vegetable,,FALSE,
acorn squash,vegetable,,FALSE,
butternut squash,vegetable,,FALSE,
pumpkin,vegetable,https://i.ibb.co/fpPjBtF/pumpkins-457716-1280.jpg,FALSE,
spaghetti squash,vegetable,,FALSE,
chayote,vegetable,https://i.ibb.co/mzx7vN5/chayote-5318923-1280.jpg,FALSE,
bitter melon,fruit,,FALSE,
pattypan squash,vegetable,,FALSE,
tomato,vegetable,,FALSE,
eggplant,vegetable,,FALSE,
bell pepper,vegetable,,FALSE,
shishito peppers,vegetable,https://i.ibb.co/zXYwcYq/pepper-1922458-1280.jpg,FALSE,
anaheim chili peppers,vegetable,https://i.ibb.co/CmW0VPy/anaheim-peppers-1342986-1280.jpg,FALSE,
chives,herb,,FALSE,
poblano ,vegetable,,FALSE,
cayenne pepper,vegetable,,FALSE,
